name,url,price,imgs
Striped Drawstring Detail Shorts,/en/products/striped-drawstring-detail-shorts-pink-stripe-1831-000011-7735,49.95,"/globalassets/striped_drawstring_detail_shorts-1831-000011-7735_0293_1_campaign.jpg?ref=41D64A18A0, /globalassets/striped_drawstring_detail_shorts_1831-000011-7735_7248.jpg?ref=BC5A86F74F, /globalassets/striped_drawstring_detail_shorts_1831-000011-7735_7232.jpg?ref=925DE17C20, /globalassets/striped_drawstring_detail_shorts_1831-000011-7735_7146.jpg?ref=CFEAF6BCD1, /globalassets/striped_drawstring_detail_shorts_1831-000011-7735_7199.jpg?ref=44544E1E93, /globalassets/striped_drawstring_detail_shorts_1831-000011-7735_7217.jpg?ref=F87A059291, /globalassets/striped_drawstring_detail_shorts-1831-000011-7735_0293_campaign.jpg?ref=3FE61887A4, /globalassets/striped_drawstring_detail_shorts-1831-000011-7735_0293_flatlay.jpg?ref=1E68CD5CD3"
High Waist Raw Hem Denim Shorts,/en/products/high-waist-raw-hem-denim-shorts-light-blue-1100-007240-0047,32.97,"/globalassets/mayaweyhe_1100-007240-0047_social_4.jpg?ref=426D0AF436, /globalassets/high_waist_raw_hem_denim_shorts-1100-007240-004718595_01c-1.jpg?ref=825542C132, /globalassets/high_waist_raw_hem_denim_shorts-1100-007240-004718617.jpg?ref=A5663165EE, /globalassets/high_waist_raw_hem_denim_shorts-1100-007240-004718603-1.jpg?ref=E061AE2666, /globalassets/high_waist_raw_hem_denim_shorts-1100-007240-004718623-1.jpg?ref=39631C9437, /globalassets/mayaweyhe_1100-007240-0047_social.jpg?ref=80772A54EC"
Contrast Floral Crochet Shirt,/en/products/contrast-floral-crochet-shirt-blackbeige-1812-000550-0053,59.97,"/globalassets/paulisalaverria_1812-000550-0053_social.jpg?ref=3B1C613721, /globalassets/contrast_floral_crochet_shirt_1812-000550-0053_22906.jpg?ref=2EB7BAF52C, /globalassets/contrast_floral_crochet_shirt_1812-000550-0053_22922.jpg?ref=4F60B06F20, /globalassets/contrast_floral_crochet_shirt_1812-000550-0053_22901.jpg?ref=F285A5E7C0, /globalassets/contrast_floral_crochet_shirt_1812-000550-0053_22917.jpg?ref=14262BF4A7, /globalassets/georgwhite_1812-000550-0053_social.jpg?ref=6655A6867C"
Ribbed Tank,/en/products/organic-ribbed-tank-light-grey-melange-1100-004337-0123,17.97,"/globalassets/nakd_ribbed_tank_1100-004337-0123_36092.jpg?ref=050ACE4284, /globalassets/nakd_ribbed_tank_1100-004337-0123_36119-1.jpg?ref=CC0B53424B, /globalassets/nakd_ribbed_tank_1100-004337-0123_36068_01c-1.jpg?ref=E1B5E43040, /globalassets/nakd_ribbed_tank_1100-004337-0123_36071-1.jpg?ref=F603FDFD89, /globalassets/ssayoud-1100-004337-0123_social.jpg?ref=2A53FFDB27"
Boat Neck Long Sleeve Top,/en/products/boat-neck-long-sleeve-top-navy-1018-010381-0018,19.97,"/globalassets/mariellelindahl_1018-010381-0018_social.jpg?ref=A99502214C, /globalassets/nakd_boat_neck_long_sleeve_top-1018-010381-0018_17980.jpg?ref=060C8DEF6A, /globalassets/nakd_boat_neck_long_sleeve_top-1018-010381-0018_18028.jpg?ref=4347FF9667, /globalassets/nakd_boat_neck_long_sleeve_top-1018-010381-0018_01c.jpg?ref=FD0F1390E6, /globalassets/nakd_boat_neck_long_sleeve_top-1018-010381-0018_18020.jpg?ref=DB2BA8CD64"
Linen Blend Puffy Sleeve Midi Dress,/en/products/linen-blend-puffy-sleeve-midi-dress-print-1831-000001-0259,99.95,"/globalassets/linen_blend_puffy_sleeve_midi_dress-1831-000001-0259_0288_1_campaign.jpg?ref=C2238DEC9A, /globalassets/linen_blend_puffy_sleeve_midi_dress_1831-000001-0259_6904.jpg?ref=4B369C17AF, /globalassets/linen_blend_puffy_sleeve_midi_dress_1831-000001-0259_6934.jpg?ref=6EB9D83984, /globalassets/linen_blend_puffy_sleeve_midi_dress_1831-000001-0259_6918.jpg?ref=E9308BC96F, /globalassets/linen_blend_puffy_sleeve_midi_dress_1831-000001-0259_6956.jpg?ref=BA72D8525D, /globalassets/linen_blend_puffy_sleeve_midi_dress_1831-000001-0259_6949.jpg?ref=80588625A7, /globalassets/linen_blend_puffy_sleeve_midi_dress-1831-000001-0259_0288_campaign.jpg?ref=AD5E81C87F, /globalassets/linen_blend_puffy_sleeve_midi_dress-1831-000001-0259_0288_flatlay.jpg?ref=8D59AA012C"
Elastic Linen Shorts,/en/products/elastic-linen-shorts-white,41.97,"/globalassets/elastic_linen_shorts_1018-007428-0001_3546911.jpg?ref=796BA3E202, /globalassets/elastic_linen_shorts_1018-007428-0001_35481.jpg?ref=9A2D688A26, /globalassets/elastic_linen_shorts_1018-007428-0001_35465_01c.jpg?ref=7A7DB664DE, /globalassets/elastic_linen_shorts_1018-007428-0001_35476.jpg?ref=F909190D6E"
Off Shoulder Top,/en/products/off-shoulder-top-offwhite-1100-009240-0260,29.97,"/globalassets/emilietommerberg_1100-009240-0260_social.jpg?ref=8AA8FB22BA, /globalassets/off_shoulder_top_1100-009240-0260_8459.jpg?ref=661AF4D5A4, /globalassets/off_shoulder_top_1100-009240-0260_8469.jpg?ref=112D2BA0EE, /globalassets/off_shoulder_top_1100-009240-0260_8449_01c.jpg?ref=D3D9F39771, /globalassets/off_shoulder_top_1100-009240-0260_8467.jpg?ref=6EAE0F6749, /globalassets/off_shoulder_top_1100-009240-0260_8467_curated.jpg?ref=4E4D967DA9"
Boat Neck Long Sleeve Top,/en/products/boat-neck-long-sleeve-top-grey-1018-010381-0008,23.97,"/globalassets/boat_neck_long_sleeve_top_1018-010381-000828822.jpg?ref=B2D5B4E7D3, /globalassets/boat_neck_long_sleeve_top_1018-010381-000828849.jpg?ref=C941096860, /globalassets/boat_neck_long_sleeve_top_1018-010381-0008_01c-copy.jpg?ref=3AB384DD90, /globalassets/boat_neck_long_sleeve_top_1018-010381-000828835.jpg?ref=F1951838E9, /globalassets/boat_neck_long_sleeve_top_1018-010381-00080102_flatlay.jpg?ref=E24AE47DC4"
Thin Basic Strap Singlet,/en/products/thin-basic-strap-singlet-offwhite-1044-000200-0260,11.97,"/globalassets/nakd_thin_basic_strap_singlet-1044-000200-0260_11940.jpg?ref=22FE69AC30, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0260_11922.jpg?ref=AC48631273, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0260_11928.jpg?ref=1B5DBB87F3, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0260_11889.jpg?ref=5B664B4CD4, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0260_11914.jpg?ref=C83019F8E8, /globalassets/thin_basic_strap_singlet-_1044-000200-0260_2_flatlay.jpg?ref=DE902436DF"
